PORTFOLIO.S1,Portfolio Semestre 1,,1,Portfolio
PORTFOLIO.S2,Portfolio Semestre 2,,2,Portfolio
PORTFOLIO.S3,Portfolio Semestre 3,,3,Portfolio
PORTFOLIO.S4,Portfolio Semestre 4,,4,Portfolio
PORTFOLIO.S5,Portfolio Semestre 5,,5,Portfolio
PORTFOLIO.S6,Portfolio Semestre 6,,6,Portfolio
R1.01,Anglais,,1,Ressource
R1.02,Allemand,,1,Ressource
R1.03,Ergonomie et Accessibilité,,1,Ressource
R1.04,Culture numérique,,1,Ressource
R1.05,Stratégies de communication et marketing,,1,Ressource
R1.06,"Expression, communication et rhétorique",,1,Ressource
R1.07,Écriture multimédia et narration,,1,Ressource
R1.08,Production graphique,,1,Ressource
R1.09,Culture artistique,,1,Ressource
R1.10,Production audio et vidéo,,1,Ressource
R1.11,Intégration,,1,Ressource
R1.12,Développement Web,,1,Ressource
R1.13,Hébergement,,1,Ressource
R1.14,Représentation et traitement de l'information,,1,Ressource
R1.15,Gestion de projet,,1,Ressource
R1.16,"Économie, gestion et droit du numérique",,1,Ressource
R1.17,Projet personnel et professionnel,,1,Ressource
R2.01,Anglais,,2,Ressource
R2.02,Anglais Renforcé ou LV2,,2,Ressource
R2.03,Ergonomie et Accessibilité,,2,Ressource
R2.04,Culture numérique,,2,Ressource
R2.05,Stratégies de communication et marketing,,2,Ressource
R2.06,"Expression, communication et rhétorique",,2,Ressource
R2.07,Écriture multimédia et narration,,2,Ressource
R2.08,Production graphique,,2,Ressource
R2.09,Culture artistique,,2,Ressource
R2.10,Production audio et vidéo,,2,Ressource
R2.11,Gestion de contenus,,2,Ressource
R2.12,Intégration,,2,Ressource
R2.13,Développement Web,,2,Ressource
R2.14,Système d’information,,2,Ressource
R2.15,Hébergement,,2,Ressource
R2.16,Représentation et traitement de l’information,,2,Ressource
R2.17,Gestion de projet,,2,Ressource
R2.18,"Économie, gestion et droit du numérique",,2,Ressource
R2.19,Projet Personnel et Professionnel,,2,Ressource
SAÉ1.01,Auditer une communication numérique,,1,SAE
SAÉ1.02,Concevoir une recommandation de communication numérique,,1,SAE
SAÉ1.03,Produire les éléments d'une communication visuelle,,1,SAE
SAÉ1.04,Produire un contenu audio et vidéo,,1,SAE
SAÉ1.05,Produire un site Web,,1,SAE
SAÉ1.06,Gérer un projet de communication numérique,,1,SAE
SAÉ2.01,Explorer les usages du numérique,,2,SAE
SAÉ2.02,Concevoir un produit ou un service et sa communication,,2,SAE
SAÉ2.03,Concevoir un site web avec une source de données,,2,SAE
SAÉ2.04,Construire sa présence en ligne,,2,SAE
